gesture_id,Timestamp,Hand_Landmark,X,Y,Z,Delta_X,Delta_Y,Delta_Z
0,1690707581,0,0.414435774,0.91614145,8.04E-08,0,0,0
0,1690707581,1,0.437613159,0.885866284,-0.008364313,0,0,0
0,1690707581,2,0.462785214,0.895531774,-0.012248664,0,0,0
0,1690707581,3,0.48051706,0.925930917,-0.013432386,0,0,0
0,1690707581,4,0.493001908,0.944888592,-0.014275961,0,0,0
0,1690707581,5,0.460775614,0.933963835,-0.021870881,0,0,0
0,1690707581,6,0.49005419,0.965507269,-0.028086944,0,0,0
0,1690707581,7,0.50676918,0.983214796,-0.030139023,0,0,0
0,1690707581,8,0.519830346,0.993933976,-0.030568946,0,0,0
0,1690707581,9,0.454635233,0.965271175,-0.018515075,0,0,0
0,1690707581,10,0.484831661,0.989778936,-0.02218166,0,0,0
0,1690707581,11,0.501369834,0.997188807,-0.020887693,0,0,0
0,1690707581,12,0.513967752,1.000003695,-0.019670779,0,0,0
0,1690707581,13,0.44992134,0.985793114,-0.014644728,0,0,0
0,1690707581,14,0.476799697,0.998567343,-0.016277159,0,0,0
0,1690707581,15,0.490833998,0.999766111,-0.012648839,0,0,0
0,1690707581,16,0.499691278,0.998944044,-0.009901028,0,0,0
0,1690707581,17,0.447238564,0.996242046,-0.011461344,0,0,0
0,1690707581,18,0.467792749,1.00178647,-0.012335977,0,0,0
0,1690707581,19,0.479278505,0.999733984,-0.009482704,0,0,0
0,1690707581,20,0.487037778,0.99623698,-0.006731743,0,0,0
0,1690707581,0,0.414417416,0.914961994,5.78E-08,-1.84E-05,-0.001179457,-2.26E-08
0,1690707581,1,0.437680036,0.883400798,-0.00967183,6.69E-05,-0.002465487,-0.001307516
0,1690707581,2,0.461869448,0.890600085,-0.013595282,-0.000915766,-0.004931688,-0.001346618
0,1690707581,3,0.478217632,0.921303511,-0.01460827,-0.002299428,-0.004627407,-0.001175883
0,1690707581,4,0.488765776,0.942686915,-0.015036572,-0.004236132,-0.002201676,-0.000760611
0,1690707581,5,0.461265743,0.935458899,-0.021035459,0.000490129,0.001495063,0.000835422
0,1690707581,6,0.490545779,0.966379106,-0.02599656,0.000491589,0.000871837,0.002090383
0,1690707581,7,0.506803155,0.982580781,-0.027403845,3.40E-05,-0.000634015,0.002735179
0,1690707581,8,0.519951582,0.992963791,-0.027731281,0.000121236,-0.000970185,0.002837665
0,1690707581,9,0.454883367,0.966090798,-0.016819632,0.000248134,0.000819623,0.001695443
0,1690707581,10,0.485547274,0.987078369,-0.019418158,0.000715613,-0.002700567,0.002763502
0,1690707581,11,0.501948774,0.990902245,-0.017874869,0.00057894,-0.006286561,0.003012825
0,1690707581,12,0.513489366,0.991659641,-0.016680792,-0.000478387,-0.008344054,0.002989987
0,1690707581,13,0.450283885,0.984669209,-0.012311595,0.000362545,-0.001123905,0.002333133
0,1690707581,14,0.47695905,0.994236887,-0.013734405,0.000159353,-0.004330456,0.002542754
0,1690707581,15,0.490692288,0.992933095,-0.01085353,-0.00014171,-0.006833017,0.001795309
0,1690707581,16,0.498966277,0.990617096,-0.008799353,-0.000725001,-0.008326948,0.001101675
